name,type,location,creators_rec,notes,sheet_name,address,rating,user_ratings_total,google_maps_link,lat,lng
Boichik Bagels,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"3170 College Ave, Berkeley, CA 94705, United States",4.5,496,"https://www.google.com/maps/search/?api=1&query=3170%20College%20Ave,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJn9T-ECV9hYARV4O5ll6y04k",37.8514832,-122.2526696
Piccolo Forno,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"725 Columbus Ave, San Francisco, CA 94133, United States",4.7,1190,"https://www.google.com/maps/search/?api=1&query=725%20Columbus%20Ave,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJLeYyO_CAhYAR6j9XsEIm3GI",37.8013826,-122.4119778
La Note,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2377 Shattuck Ave., Berkeley, CA 94704, United States",4.4,1565,"https://www.google.com/maps/search/?api=1&query=2377%20Shattuck%20Ave.,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJB_-A0oJ-hYARwmbyJJR3sUo",37.866206,-122.267249
Freehouse,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1325 NE Fremont St, Portland, OR 97212, United States",4.5,133,"https://www.google.com/maps/search/?api=1&query=1325%20NE%20Fremont%20St,%20Portland,%20OR%2097212,%20United%20States&query_place_id=ChIJrV-5VTqnlVQRdQee_8SqfwI",45.5483431,-122.6522457
Cafe Reveille,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"610 Long Bridge Street, San Francisco, CA 94158, United States",4.4,725,"https://www.google.com/maps/search/?api=1&query=610%20Long%20Bridge%20Street,%20San%20Francisco,%20CA%2094158,%20United%20States&query_place_id=ChIJrYVUEYCAhYARweDb0BL63f0",37.7735205,-122.3916911
Lazy Dog,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2208 Bridgepointe Pkwy, San Mateo, CA 94404, United States",4.2,462,"https://www.google.com/maps/search/?api=1&query=2208%20Bridgepointe%20Pkwy,%20San%20Mateo,%20CA%2094404,%20United%20States&query_place_id=ChIJUSuYArmfj4ARrq1hjNw2KwQ",37.560525,-122.283111
**Chez Panisse,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1517 Shattuck Ave., Berkeley, CA 94709, United States",4.6,1936,"https://www.google.com/maps/search/?api=1&query=1517%20Shattuck%20Ave.,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJcYtcJaF-hYAR-VzrwZpQY0E",37.879593,-122.2690371
Hog Island Oysters,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"Ferry Building, #11, San Francisco, CA 94111, United States",4.6,2695,"https://www.google.com/maps/search/?api=1&query=Ferry%20Building,%20#11,%20San%20Francisco,%20CA%2094111,%20United%20States&query_place_id=ChIJWTGPjmaAhYARgXpiJ-aACYM",37.7954425,-122.3936136
Sizzling Lunch,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"139 8th St, San Francisco, CA 94103, United States",4.1,187,"https://www.google.com/maps/search/?api=1&query=139%208th%20St,%20San%20Francisco,%20CA%2094103,%20United%20States&query_place_id=ChIJYZp9LYOAhYAR-zYOp1qMPbE",37.7771586,-122.4126183
Bollywood Cafe,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1805 Euclid Ave, Berkeley, CA 94709, United States",4.5,63,"https://www.google.com/maps/search/?api=1&query=1805%20Euclid%20Ave,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJq8H9nml9hYARO2pGXW6_Tm8",37.8757904,-122.2601754
Raleigh,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,,,,,,
La Farine,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"3411 Fruitvale Ave, Oakland, CA 94602, United States",4.6,267,"https://www.google.com/maps/search/?api=1&query=3411%20Fruitvale%20Ave,%20Oakland,%20CA%2094602,%20United%20States&query_place_id=ChIJ1b3VuauHj4ARBVeVXFG50tA",37.799552,-122.2166126
